"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"2","0.000000","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"3","0.016271","192.168.43.214","112.215.183.79","UDP","76","59990  >  443 Len=34"
"4","0.020714","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"5","0.023192","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"6","0.027672","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"7","0.046538","192.168.43.214","112.215.183.79","UDP","76","59990  >  443 Len=34"
"8","0.048407","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"9","0.071858","192.168.43.214","112.215.183.79","UDP","76","59990  >  443 Len=34"
"10","0.076921","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"11","0.091859","192.168.43.214","31.13.95.60","TLSv1.2","115","Application Data"
"12","0.093733","192.168.43.214","112.215.183.79","UDP","76","59990  >  443 Len=34"
"13","0.093918","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"14","0.093918","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"15","0.093918","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"16","0.093918","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"17","0.093918","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"18","0.112321","192.168.43.214","142.251.10.189","UDP","75","56574  >  443 Len=33"
"19","0.112483","192.168.43.214","112.215.183.79","UDP","76","59990  >  443 Len=34"
"20","0.117317","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"21","0.119838","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"22","0.119838","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"23","0.120719","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"24","0.132395","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"25","0.132395","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"26","0.132520","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"27","0.132520","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"28","0.132520","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
